Wavelength / nm	364.0 nm	375.0 nm	385 nm LUXEOSTAR 100mA	385 nm LUXEOSTAR 500mA	400 nm LUXEOSTAR 36mA	400 nm LUXEOSTAR 500mA	409.0 nm	416.0 nm	420 nm LUXEOSTAR 100mA	420 nm LUXEOSTAR 500mA	424.0 nm	439.0 nm	443.0 nm	452 nm LUXEOSTAR 30mA	452 nm LUXEOSTAR 100mA	452 nm LUXEOSTAR 500mA	472.0 nm	496.0 nm	505.0 nm	509.0 nm	513.0 nm	519.0 nm	521.0 nm	530 nm LUXEOSTAR 50 mA	532.0 nm	536.0 nm	540.0 nm	593.0 nm	613.0 nm	634.0 nm	639.0 nm	651 nm LUXEOSTAR 11 mA	651.0 nm	655.0 nm	669.0 nm	681.0 nm	687.0 nm	701.0 nm	734.0 nm	772.0 nm	811.0 nm	855.0 nm
688.0	-1.5178835840114543e-05	-1.1676131611721699e-05	-4.553916486033548e-05	-5.735267126319076e-05	-5.692955331525108e-05	-4.5415720986836326e-05	-1.2457382645220561e-06	-9.815458032830463e-06	-5.6873631565567865e-05	-4.5568384264711815e-05	-2.122626768712736e-05	-3.5451458265817214e-07	-2.6853352259700896e-05	-4.740824963622138e-05	-3.337222294656646e-05	-3.948801344511892e-05	-2.5731118920287027e-05	-1.623304861191885e-05	-7.00688883594706e-05	-9.228296848714704e-06	-0.00012300360286623542	-0.00016621869262033203	1.0970620254780806e-05	1.3458407501254337e-05	1.2508737385111177e-05	3.1100588463797965e-05	-8.922621386588984e-05	-1.0351806568547804e-05	-8.001631413272575e-05	-1.6729462290473895e-05	-2.398217953556383e-06	5.2453347155080914e-05	0.00040045706619272443	0.0010934216014214398	0.007373689819481492	0.02805320959510702	0.036650079547543485	0.016563207543549854	0.0013826387281406706	6.0462604590575085e-05	-9.797824350705113e-05	-0.0008129820672423958
689.0	-1.6032697310826484e-05	-1.4328269912653803e-05	-4.92409357880745e-05	-4.128028962854118e-05	-4.479886689020803e-05	-5.851308265223069e-05	-1.3497657440981802e-06	8.427386962080215e-06	-4.4407845198066934e-05	-4.809238742767737e-05	-2.0231063288240852e-05	5.566816507313833e-06	-2.7858102159063242e-05	-5.289602129829217e-05	-3.87613629077181e-05	-3.934757000666535e-05	-2.6484538672551025e-05	-1.757654971070136e-05	6.149193003089602e-05	-1.1790996136551652e-05	-3.298889326374319e-05	-4.833216527507949e-05	2.7701061562182616e-05	-2.0245752082011165e-06	2.854322782638362e-05	2.7412141100561696e-05	-1.9335786668603757e-05	5.079831150508709e-05	-4.1875068939437465e-07	-9.568448157775351e-06	3.0633211395234484e-05	4.787552051726883e-05	0.0005163064054318842	0.0009299526113010362	0.006547522455349118	0.02580769006391948	0.0359338445192176	0.017891189952778226	0.001552317070547475	0.00010710244829824884	-4.1602577304669014e-05	-0.0004669240137016818
690.0	-1.6066005095356207e-05	-1.4026876759695684e-05	-5.835298730250913e-05	-0.00010686597597638802	-5.109749253398019e-05	-6.880386681789758e-05	-1.7455017731871956e-06	4.403728253264701e-05	-7.458817008780629e-05	-5.229905936595292e-05	-1.897251260194582e-05	3.530782500704359e-05	-2.7974464641016567e-05	-5.660833742263442e-05	-3.989591868901297e-05	-3.372983246853341e-05	-2.7230550658796202e-05	-1.8517749255261698e-05	0.00014662970369753043	-3.407443797414164e-06	5.78060740231916e-05	7.99201299558646e-05	4.8348013531304344e-05	-2.7127077730658323e-06	4.287588885794904e-05	3.8161741600082995e-05	0.00011692500793299444	0.00010441215337460967	0.00010829540805606946	1.6107418705534979e-06	8.039918306336221e-05	3.5618758874094434e-05	0.0005116299981913552	0.0008243563258394552	0.005827429509082048	0.02325321557175516	0.03462495879438219	0.019340648050677013	0.0018223515137994483	0.00015392568820436615	3.566606033814052e-05	0.00014543685027054135
691.0	-1.594958019948821e-05	-1.1224507469898653e-05	-6.290901305972645e-05	-6.668502188976221e-05	-6.836039244654227e-05	-6.069597626312996e-05	-2.2683512843382512e-06	5.47813125606525e-05	-2.4943722624249137e-05	-6.323640640547018e-05	-1.8890698112446358e-05	4.5887933327268034e-05	-2.7304118353638615e-05	-4.579419914737714e-05	-4.42923223415315e-05	-2.6426773668962253e-05	-2.724059022887168e-05	-1.885551681732501e-05	6.820171340715425e-05	7.99302743610431e-06	4.374091739257168e-05	8.125915582017724e-05	4.696457546274153e-05	2.9070415066625715e-06	2.9258875715862232e-05	3.413612610789162e-05	0.0001702237699634328	7.558936690863874e-05	0.0001378344116089779	2.653819934017771e-06	9.59535616166277e-05	3.384669694978002e-05	0.00031782530987440184	0.0006827526364938793	0.005072566345106293	0.020537894889051462	0.03268080196825567	0.02101553081523507	0.0020672522529905013	0.0001486497503126085	7.798343498738829e-06	0.00038038893478375426
692.0	-1.695265060912528e-05	-8.11829241571791e-06	-8.141786769842236e-05	-4.153952159039014e-05	-4.759825606521818e-05	-5.4926900291468114e-05	-2.4149491074229874e-06	3.0376522181589756e-05	-7.39320760684641e-05	-5.797806648262544e-05	-2.031797876404532e-05	3.886706745513773e-05	-2.6270471568009133e-05	-5.5155691982674465e-05	-5.6772435935777885e-05	-4.88977238214896e-05	-2.677655882864597e-05	-1.8731324731160646e-05	-7.470070222436764e-05	9.277874290962114e-06	-4.931717752178335e-05	9.806698739078383e-06	2.9868904632636625e-05	1.2082142371524906e-05	5.409705262748662e-07	1.992052967476498e-06	0.00012255821616442971	2.9988885016614882e-05	0.00010134942751336384	-2.1942123376646713e-06	7.615462217573791e-05	1.9965545209317698e-05	0.00015196318858490282	0.0005462583590920388	0.004322870805608653	0.018114582632427403	0.030387175923625005	0.022819588170805157	0.0022276376175462223	0.00011997667531810889	-8.188061355111899e-05	0.00039086084635232897
693.0	-1.8516533240081313e-05	-8.213941172734336e-06	-3.898987783433493e-05	-5.501958360654864e-05	-6.182848437151882e-05	-6.599728931817013e-05	-2.849366877952864e-06	-6.424819546459608e-06	-6.693373986214786e-05	-5.9240068064108225e-05	-2.1952879793118254e-05	4.0380480529140557e-05	-2.544611922425435e-05	-4.692403448956852e-05	-3.9612279743689455e-05	-2.769076461504197e-05	-2.6382641037163953e-05	-1.8813392637112914e-05	-0.00010196254548671814	6.5374900369961314e-06	-8.490886658242073e-05	-2.1579458305432075e-05	2.423484044944037e-05	1.334371874044366e-05	-1.5577378280011675e-05	-2.9663128183634145e-05	5.485321512417984e-05	5.424127277052162e-05	5.9662608916724605e-05	-1.6586389129619688e-06	3.086674547301295e-05	2.4691043674155846e-05	0.00014106797692180095	0.0004935621407068812	0.0036980810864628527	0.0160174088575632	0.028125073790012122	0.024688236918501215	0.002378415342676291	0.0001291082412275792	-9.66432883999842e-05	0.0005152360425384162
694.0	-1.986107763791367e-05	-1.1774557940503856e-05	-5.151894866668274e-05	-4.8798016522167683e-05	-7.115978162155241e-05	-7.051899751217562e-05	-3.667614855074475e-06	-1.4389805494936309e-05	-5.0312691372146615e-05	-3.3579369240625974e-05	-2.2171741710470615e-05	5.1880659067400296e-05	-2.5211330662693813e-05	-4.48257688540705e-05	-4.060501605232257e-05	-4.1032891268104976e-05	-2.5966085108706576e-05	-1.9066318871403074e-05	3.368267303088797e-05	1.6457362578477464e-05	-1.4796514304712376e-05	2.2725742548395422e-05	4.2882519825244455e-05	1.186710094500782e-06	-1.1381828484370883e-05	-3.178740659968446e-05	4.572788250287161e-05	0.00013237394731684576	3.698661524304742e-05	8.066213014268939e-06	-1.2264394665657787e-05	2.498638732820839e-05	0.00019532092320713554	0.0005180886887015527	0.0032069596287671366	0.01408686098259328	0.025946024116926827	0.026598009634184776	0.0025976136097330565	0.00018834979736868349	-3.198584573656498e-05	0.0009082648906030601
695.0	-2.1153706359031747e-05	-1.5022574216185588e-05	-6.006149696146572e-05	-2.6504067803136395e-05	-7.48923005215657e-05	-4.946966626422013e-05	-4.265904089112677e-06	8.179579210741173e-06	-6.474675979767411e-05	-7.901142617400436e-05	-2.0832134501891385e-05	4.397036465263681e-05	-2.5659446738034826e-05	-4.1274857778612996e-05	-4.060501605232257e-05	-3.681958811450632e-05	-2.4667580734077796e-05	-1.9350480178017807e-05	0.00019689713559360736	3.0159111971945517e-05	5.427860526001457e-05	6.49081815312006e-05	6.119311592022095e-05	4.053929114770323e-06	7.362659369739111e-06	-1.410243861796289e-05	5.730185836843027e-05	0.0001615508776199378	2.114369900697669e-05	1.7317823672199714e-05	-3.367747691402483e-05	1.863649876608189e-05	0.0001824930162093847	0.0005211392069722032	0.0028164918471463357	0.012241066424372431	0.02359327158468332	0.028440922262757004	0.002846141681926673	0.00026882772163037467	7.757985902662574e-05	0.0011784151978174663
696.0	-2.1949655004089456e-05	-1.4161021042149043e-05	-8.768240311459626e-05	-6.512963011866697e-05	-6.0662072215264384e-05	-6.272294890182186e-05	-3.836639987629527e-06	3.7809895870659324e-05	-4.6813523268987873e-05	-5.797806648262544e-05	-1.9218923090012663e-05	2.4877453236662234e-05	-2.660184633526218e-05	-4.563279409849286e-05	-4.883054546671218e-05	-4.7633732875409884e-05	-2.316960054397699e-05	-1.9285919620180824e-05	0.00024357374387883437	3.0062400440007635e-05	4.0534098221031516e-05	9.267737159111612e-05	6.234050714982469e-05	1.0361810959363442e-05	2.8532075377736026e-05	7.480336639082022e-06	7.501349968742689e-05	0.00013001659998442903	4.2843435850945236e-05	1.985309343583495e-05	-1.986428923737156e-05	2.882585483088933e-05	0.00011363656480091538	0.00045462045579998855	0.0024853402659131686	0.010603279964328381	0.02106194420153234	0.030205849869234937	0.0030536345351767536	0.00032260068836421126	0.00023150396640650214	0.0013301597860421897
697.0	-2.1274204729297554e-05	-1.2280687671013924e-05	-3.8135623004856634e-05	-4.465030513258062e-05	-5.692955331525108e-05	-5.851308265223069e-05	-3.856229720860666e-06	3.8365185994831335e-05	-5.884191362359443e-05	-5.608506411040126e-05	-1.8716069655144037e-05	7.734796790736363e-06	-2.8212723996180424e-05	-4.4180148658532906e-05	-3.5783153981818364e-05	-3.611737092223968e-05	-2.2887143716214266e-05	-1.9253521569499792e-05	0.0001485346373704746	1.3356960754075377e-05	-3.7726921802652226e-05	6.16933971226033e-05	4.343680102563837e-05	5.774260526932112e-06	2.9619918023899963e-05	1.4276414952900427e-05	4.669722952844665e-05	8.997223888007457e-05	5.2904640031109424e-05	1.3261641063760228e-05	-2.6498383630038556e-06	1.730745232284608e-05	-3.293503419014298e-05	0.00033698534528038744	0.002162319867493458	0.009186264803072748	0.01864923639198564	0.03209933683768085	0.0031650933335769147	0.0003059895972732608	0.0003128856319985885	0.0009710767927581762
698.0	-1.8975024899204843e-05	-1.2880520703869164e-05	-5.920724213198743e-05	-4.905724848401664e-05	-4.596527904646182e-05	-5.648611001353878e-05	-5.008465950319012e-06	2.1018794627529996e-05	-4.615742924964569e-05	-4.914405541224596e-05	-1.9427410065708646e-05	1.1328589639649241e-05	-3.0018328961170776e-05	-3.723973155650216e-05	-3.620861239980404e-05	-4.3560873160264405e-05	-2.438533460059167e-05	-1.914966990682302e-05	3.3576571690317493e-05	2.4330730269474345e-06	-6.147765890969949e-05	1.6743549458298405e-05	2.8876027713129883e-05	1.1164632285038836e-05	1.2729058054270988e-05	1.8054075743764837e-05	1.1784551259483917e-05	7.481401609142908e-05	4.1991186562840966e-05	9.098592896952606e-06	7.1209854723443484e-06	1.981787338229164e-05	-0.00016475158851519272	0.00023142321026597707	0.0018608151439268657	0.008013654420037335	0.016541542719344236	0.03424012262510533	0.0033319996972638924	0.0002538238508779683	0.00023216345045549202	0.0002662962700536515
699.0	-1.7051458002904045e-05	-1.5105105319659649e-05	-5.8922490522161595e-05	-6.616655796606355e-05	-6.346146139027452e-05	-3.9490724042967546e-05	-6.527939896335362e-06	6.384389761272291e-06	-5.09687853914888e-05	-5.839873367645324e-05	-2.0231967592103395e-05	1.8753685757607642e-05	-3.0705267970810125e-05	-3.949940224088446e-05	-4.7837809158078665e-05	-3.316805871472034e-05	-2.658003102382262e-05	-1.8821477362481858e-05	-1.4123849384771233e-05	-2.384615575070988e-06	-2.162880394386245e-05	-1.6754301358833036e-05	2.7818069969099288e-05	5.31550548368875e-06	2.3356338596423083e-06	2.0062040847360405e-05	-1.4348805248356815e-05	5.503435144337733e-05	1.3766450612969225e-05	1.19347925069843e-05	3.026995554788005e-06	1.5387718571505612e-05	-0.00012378035440562744	0.00020098966901500358	0.0015925446368994615	0.00703617396237751	0.014632949026393621	0.03606449891971441	0.003664582204503428	0.00023873503336634762	4.46942450235768e-05	-0.0003421142127336257
700.0	-1.6887554066952e-05	-1.460038984831331e-05	-5.408171315511764e-05	-5.838959911058808e-05	-6.556100327153212e-05	-5.835716168002374e-05	-7.182670921560225e-06	1.7359833112502072e-05	-4.900050333346224e-05	-6.197440482398739e-05	-2.0553287864415693e-05	2.688960381196935e-05	-2.926043328659823e-05	-3.530287096988889e-05	-5.053237913865449e-05	-4.2015995337277954e-05	-2.8708403821724412e-05	-1.804692713823791e-05	6.363270317798749e-06	-6.253489233566079e-06	4.694422485263917e-05	3.3225788295016626e-05	3.8278962751512046e-05	1.598156023909152e-05	1.6359296599257704e-05	1.52829000421064e-05	1.3173817724090662e-05	3.755652219511842e-05	2.1749578441588503e-05	1.898843633575066e-05	-4.878181727366376e-06	2.6610777425496738e-05	0.00011308640922207124	0.00022862370049026357	0.0013640794716262329	0.0061939908139009795	0.012851567934294615	0.03703824457524937	0.00409793582550836	0.0002682757629047089	-3.702734816492878e-06	6.483818511563691e-06
701.0	-1.829441598271679e-05	-1.2062444300536638e-05	-7.515333228224845e-05	-6.4870398156818e-05	-5.343031684648907e-05	-6.724465709582692e-05	-7.0964688004258704e-06	4.349257518452458e-05	-6.93394179330688e-05	-5.503339612583209e-05	-2.0667232187185383e-05	1.8710795811693588e-05	-2.7201294958651226e-05	-4.708543953845281e-05	-4.4434141814193664e-05	-4.313954284490451e-05	-3.0397980157231746e-05	-1.7496609354305658e-05	3.41028223904386e-05	-1.0524570904338457e-05	8.573981218148213e-05	8.038828485941281e-05	4.01860085481224e-05	1.3013988553114594e-06	3.90054276357366e-05	-9.766180625140561e-06	4.6278184168022066e-05	6.14582516408888e-05	3.082030140783689e-05	1.8245729011614638e-05	-5.350298850379148e-06	8.004127220195846e-06	0.0002925087517687667	0.00025430561603085905	0.0011693118818958612	0.005376149348689468	0.01122626301137885	0.03719632812201658	0.004435735777746395	0.0002893069951171024	9.050784851581929e-05	0.0008713888667134269
702.0	-1.901393177610118e-05	-1.0176782600268958e-05	-5.7498732473030835e-05	-8.301663548626149e-05	-6.0195507352763136e-05	-3.1538754460406864e-05	-6.826053483704502e-06	6.776361194484321e-05	-4.790701330122506e-05	-6.681207755300434e-05	-2.111980290914259e-05	1.3425286705236611e-05	-2.6201432717859325e-05	-4.982932536948797e-05	-4.3157766560236626e-05	-5.254925322127518e-05	-3.137891043051167e-05	-1.749304999600072e-05	7.935541460667712e-05	-1.5568618790704583e-06	0.0001519005175985046	7.127945539375591e-05	3.2165402231173175e-05	6.003638048553467e-06	5.041791799966562e-05	-2.7464045414752603e-05	7.541197024221017e-05	0.00013104642001901399	2.8975400213971958e-05	1.2807049255147417e-05	1.6004665242446068e-05	5.198362506698169e-06	0.00026862541897258605	0.00021669885778873892	0.0010365454654273963	0.004624181486826096	0.009797308150293659	0.036895910213856735	0.00473670885044268	0.0003004027040732615	0.00022248810436121107	0.0017252858933858662
703.0	-1.9470625202415854e-05	-1.0406264873277508e-05	-7.91398548198133e-05	-8.975666649434039e-05	-5.669627088400046e-05	-5.367953251381132e-05	-7.130863275829707e-06	5.837009189674868e-05	-4.4189147191619746e-05	-7.817009178634939e-05	-2.1359721123939683e-05	8.295931524677482e-06	-2.65810299916687e-05	-4.6601224391799483e-05	-2.628124931347211e-05	-4.004978719893199e-05	-3.114477377629735e-05	-1.7858125778484776e-05	0.00012207441173407837	8.842133791951486e-06	0.00022066810377172313	-1.685830015980919e-05	2.0226407919474338e-05	1.563749395665916e-05	3.1234137616101036e-05	-2.8495049237682525e-05	4.182450030765899e-05	0.00016305697387297317	4.064530870060565e-06	4.750938818549985e-06	2.9890069400651563e-05	1.3763328474217681e-05	0.000142147029090494	0.0001393616379385285	0.0009390206855014533	0.003986576432133444	0.00853839192461707	0.0361656552315124	0.00510770333636152	0.0003060041483149804	0.00020059701115771088	0.0018659596797851875
